mOTU ID	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)														
FJ_XM_bin_109	62.93	8.62	46.1	4897	3354028	786	3503	24046	0.871797729	k__Bacteria (UID203)	104	80	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Thalassotalea_A;s__Thalassotalea_A mangrovi	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea mangrovi	
FJ_XM_bin_112	74.13	6.896	56.8	20517	3291194	277	2765	73799	0.889929113	k__Bacteria (UID203)	104	0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__	d__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__Kiritimatiellales;f__;g__;s__	
FJ_XM_bin_113	55.7	5.909	57.1	5448	2113194	456	2319	21570	0.903824808	k__Bacteria (UID1452)	163	25	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__W1033;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__;s__	
FJ_XM_bin_114	65.51	6.896	45.5	16307	2150500	248	2272	75912	0.874566138	k__Bacteria (UID203)	104	20	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_115	63.49	6.789	52.7	6674	3012008	543	3266	45868	0.896409468	c__Gammaproteobacteria (UID4267)	544	26.32	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_116	65.59	5.982	66.4	33693	2397111	158	2413	126310	0.910093835	k__Bacteria (UID1453)	171	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__	
FJ_XM_bin_118	82.98	0.022	54.1	9908	3066992	427	3122	59238	0.882610584	c__Deltaproteobacteria (UID3217)	280	100	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfofustis;s__	Sulphate reduction
FJ_XM_bin_119	91.72	3.109	64.1	28571	3958555	222	3241	158717	0.918004653	k__Bacteria (UID2982)	230	12.5	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__	d__Bacteria;p__Kiritimatiellaeota;c__;o__;f__;g__;s__	
FJ_XM_bin_12	89.94	2.497	63.7	13684	4429503	546	4106	46086	0.901441695	k__Bacteria (UID3187)	188	10	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
FJ_XM_bin_120	90.09	8.192	65.6	57062	4117732	122	3860	210423	0.901950424	c__Gammaproteobacteria (UID4274)	581	2.13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_121	75.05	0.745	58.5	23166	2551890	138	2620	99744	0.896932079	f__Rhodobacteraceae (UID3360)	582	80	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__	
FJ_XM_bin_122	63.04	2.049	41.4	2989	1107762	386	1385	10251	0.909603642	k__Bacteria (UID3060)	335	50	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	
FJ_XM_bin_123	69.73	3.188	36.2	3797	1799898	522	2005	16190	0.902635796	s__algicola (UID2847)	496	76.47	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__	
FJ_XM_bin_124	55.52	7.788	50	2389	1974389	812	2367	23330	0.807667595	c__Deltaproteobacteria (UID3216)	247	81.48	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__;g__;s__	Sulphate reduction
FJ_XM_bin_125	50.15	2.586	40.7	4352	4014730	1069	4469	23915	0.884459642	k__Bacteria (UID203)	104	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arabiensis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arabiensis	
FJ_XM_bin_127	62.93	6.388	38.1	3572	2180723	662	2511	14050	0.890102025	f__Flavobacteriaceae (UID2845)	548	62.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__QNYL01;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	
FJ_XM_bin_13	70.63	7.229	57.7	15742	2434170	281	2256	54816	0.875858173	c__Gammaproteobacteria (UID4444)	507	80	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Microbulbifer;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer;s__	
FJ_XM_bin_130	54.42	6.092	65.3	3371	2908126	900	3265	13429	0.890188466	k__Bacteria (UID3187)	190	22.22	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30;f__JAGDMS01;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction
FJ_XM_bin_14	53.68	7.775	65.6	2320	1641358	699	2165	7491	0.909741956	c__Alphaproteobacteria (UID3422)	529	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__;g__;s__	
FJ_XM_bin_16	56.89	8.62	61.8	23983	2992951	238	2945	94965	0.918457498	k__Bacteria (UID203)	104	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus_A;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__Halioglobus;s__	
FJ_XM_bin_19	53.22	8.333	66.6	3642	1885108	561	2163	13472	0.925149051	k__Bacteria (UID3187)	188	0	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__;f__;g__;s__	d__Bacteria;p__Candidatus Rokubacteria;c__;o__;f__;g__;s__	
FJ_XM_bin_20	59.48	1.724	45.9	10679	2457220	294	2356	32158	0.895363452	k__Bacteria (UID203)	104	100	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	
FJ_XM_bin_21	72.03	1.724	62.6	18267	3416726	347	3348	69021	0.919620961	k__Bacteria (UID203)	104	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia;s__	
FJ_XM_bin_23	63.8	2.327	66.7	18705	2741786	239	2516	67320	0.918537064	k__Bacteria (UID2495)	147	0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__	
FJ_XM_bin_24	96.62	3.418	57	10779	4944532	613	4401	57220	0.885284348	k__Bacteria (UID2982)	230	0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__RI-55;g__RI-55;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	
FJ_XM_bin_26	84.17	2.534	36.1	6483	2325750	454	2432	60688	0.899219997	s__algicola (UID2847)	496	55.56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__	
FJ_XM_bin_28	60.66	5.462	61.6	3153	2159867	732	2619	13282	0.909057381	c__Gammaproteobacteria (UID4267)	544	55.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_29	51.16	0	46.9	4735	1520128	360	1704	14587	0.873004864	k__Bacteria (UID3187)	181	0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__;s__	d__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__	
FJ_XM_bin_3	55.65	8.62	56.8	2913	2947842	1051	3355	13047	0.908291212	k__Bacteria (UID203)	104	0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__JABWBV01;g__JABWBV01;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	
FJ_XM_bin_30	84	2.272	73.1	13467	3415309	348	3105	41649	0.914419397	k__Bacteria (UID2565)	143	100	d__Bacteria;p__Planctomycetota;c__PLA2;o__PLA2;f__JAEUHO01;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__;f__;g__;s__	
FJ_XM_bin_31	67.55	3.448	37.2	35654	4397994	240	3636	93182	0.879134858	k__Bacteria (UID203)	104	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Draconibacterium;s__	
FJ_XM_bin_32	77.58	0	54.5	10414	2408813	296	2292	41541	0.916650436	k__Bacteria (UID2982)	229	0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA985;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	
FJ_XM_bin_33	96.48	3.135	45.4	51090	3017704	110	2680	114571	0.888689088	s__algicola (UID2846)	571	30.77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	
FJ_XM_bin_35	66.81	1.01	48.8	27831	2120915	138	2043	83124	0.894791052	k__Bacteria (UID1452)	163	0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
FJ_XM_bin_36	92.1	4.29	45.6	25009	3046183	269	2771	90507	0.88832506	s__algicola (UID2846)	571	44.44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	
FJ_XM_bin_37	50.15	0.862	58.3	15933	2425634	234	2580	40443	0.905968731	k__Bacteria (UID203)	104	100	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JL08;s__JL08 sp003352045	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Sulfitobacter;s__	
FJ_XM_bin_39	67.24	3.448	62.8	26829	3199502	213	3205	104116	0.91835404	k__Bacteria (UID203)	104	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-309;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_4	91.73	2.101	46.1	20219	2717881	223	2633	118907	0.922064137	f__Flavobacteriaceae (UID2845)	548	47.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__QNYL01;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	
FJ_XM_bin_40	86.86	3.571	46.7	45673	4485280	174	3707	126032	0.926820144	p__Bacteroidetes (UID2605)	316	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__	
FJ_XM_bin_41	85.64	1.149	59.3	9580	8073653	992	6452	49685	0.878677593	k__Bacteria (UID2565)	143	0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Anammoximicrobium;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Candidatus Anammoximicrobium;s__	
FJ_XM_bin_43	63.01	3.199	60.8	4928	2135970	518	2419	32326	0.907323778	c__Gammaproteobacteria (UID4267)	544	18.75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
FJ_XM_bin_44	60.05	0	68.3	3666	1145653	344	1394	19547	0.920339663	k__Bacteria (UID203)	104	0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	d__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__	
FJ_XM_bin_45	61.04	5.622	50.5	9468	3266689	463	3543	40427	0.862786765	c__Gammaproteobacteria (UID4267)	544	14.81	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_46	51.64	2.04	59.5	3608	3786656	1166	3682	23691	0.918601193	k__Bacteria (UID2982)	229	33.33	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	
FJ_XM_bin_47	69.22	3.426	51.3	5830	1705357	361	1994	48628	0.897353663	c__Bacilli (UID259)	273	77.78	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium;s__	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium;s__	
FJ_XM_bin_48	81.8	0.755	56.8	7093	1975444	390	2226	24894	0.910944391	o__Sphingomonadales (UID3310)	569	71.43	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__	
FJ_XM_bin_49	76.89	5.172	65.4	15082	3844227	356	3434	64204	0.91286042	k__Bacteria (UID203)	104	33.33	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__LZORAL124-64-63;s__	d__Bacteria;p__Candidatus Krumholzibacteriota;c__Candidatus Krumholzibacteria;o__;f__;g__;s__	
FJ_XM_bin_5	51.7	1.351	57	3405	1822252	570	1980	12149	0.881163555	k__Bacteria (UID2982)	230	0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__B12-G4;s__	d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__	
FJ_XM_bin_50	55.79	5.172	70.7	4061	3741392	1070	3888	25985	0.918099679	k__Bacteria (UID203)	104	0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__IDS-52;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__	
FJ_XM_bin_51	52.72	7.758	34.7	1959	2548920	1265	3405	6617	0.898015762	k__Bacteria (UID203)	104	33.33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Seonamhaeicola;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Seonamhaeicola;s__	
FJ_XM_bin_52	55.51	8.62	57.4	3710	3034917	882	3495	21822	0.899110972	k__Bacteria (UID203)	104	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__	
FJ_XM_bin_54	92.47	6.647	65.9	25758	3336366	201	3368	70655	0.894845392	k__Bacteria (UID1453)	171	50	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__UBA6912;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__	
FJ_XM_bin_55	57.08	2.727	42.9	10519	1853548	255	1963	32767	0.84899409	k__Bacteria (UID3187)	181	0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__Glo-13;s__	d__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__	
FJ_XM_bin_56	54.77	2.427	61	3734	2646288	774	2661	35312	0.887311983	p__Proteobacteria (UID3214)	190	6.67	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__JABMPJ01;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	
FJ_XM_bin_57	64.7	2.506	61.3	4415	2169461	562	2621	22935	0.909574861	f__Rhodobacteraceae (UID3356)	617	38.46	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GH1-50;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_59	56.89	0.862	62.3	5777	2160599	458	2336	27938	0.926034921	k__Bacteria (UID203)	104	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Congregibacter;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__	
FJ_XM_bin_6	85.72	1.994	67.7	21595	3461546	230	3390	103137	0.915340049	k__Bacteria (UID1453)	171	66.67	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	
FJ_XM_bin_61	62.46	4.24	45	3721	2476831	734	2565	16173	0.880867844	c__Gammaproteobacteria (UID4761)	693	64.52	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__	
FJ_XM_bin_62	65.56	6.432	57.9	11180	1916648	263	2042	72830	0.909848886	c__Gammaproteobacteria (UID4267)	544	2.94	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_64	76.75	3.863	49.8	5096	1417276	311	1577	17290	0.878990488	k__Bacteria (UID3187)	181	60	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__;s__	d__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__	
FJ_XM_bin_65	95.42	2.217	39.6	22795	2518378	207	2444	68124	0.90118733	s__algicola (UID2847)	496	57.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salinimicrobium;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salinimicrobium;s__	
FJ_XM_bin_66	83.66	3.866	63.8	18242	3255330	271	3324	64900	0.904969216	c__Alphaproteobacteria (UID3337)	388	7.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Halovulum;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanibium;s__	
FJ_XM_bin_67	73.94	3.051	65.8	6176	2266184	456	2576	30937	0.896991841	c__Gammaproteobacteria (UID4267)	544	80	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__JAANXG01;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_69	74.25	0.693	36.4	22377	3605593	258	3184	88806	0.885823722	p__Bacteroidetes (UID2591)	302	100	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__	
FJ_XM_bin_7	90.78	5.027	60	37079	3229900	168	2974	126305	0.905807307	c__Gammaproteobacteria (UID4202)	481	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__JABDPF01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__	
