mOTU ID	BGC	GTDB taxonomy
FJ_XM_bin_24	FJ_XM_contig_19980161.region001	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__RI-55;g__RI-55;s__
FJ_XM_bin_24	FJ_XM_contig_2868253.region001	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__RI-55;g__RI-55;s__
FJ_XM_bin_24	FJ_XM_contig_411716.region001	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__RI-55;g__RI-55;s__
FJ_XM_bin_24	FJ_XM_contig_4504830.region001	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__RI-55;g__RI-55;s__
GD_ST_bin_127	GD_ST_contig_21664336.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Flavilitoribacter;s__
GD_ST_bin_127	GD_ST_contig_8437688.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Flavilitoribacter;s__
GD_ST_bin_127	GD_ST_contig_8230630.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Flavilitoribacter;s__
GD_ST_bin_127	GD_ST_contig_14913635.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Flavilitoribacter;s__
GD_ST_bin_135	GD_ST_contig_3046199.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003355005
GD_ST_bin_135	GD_ST_contig_3046199.region002	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003355005
GD_ST_bin_135	GD_ST_contig_6145992.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003355005
GD_ST_bin_142	GD_ST_contig_18687008.region001	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__;f__;g__;s__
GD_ST_bin_148	GD_ST_contig_8369441.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__
GD_ST_bin_148	GD_ST_contig_1713396.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__
GD_ST_bin_148	GD_ST_contig_7096033.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__
GD_ST_bin_148	GD_ST_contig_18775541.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__
GD_ST_bin_148	GD_ST_contig_18485771.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__
GD_ST_bin_148	GD_ST_contig_8841012.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__
GD_ST_bin_162	GD_ST_contig_11709928.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algibacter_D;s__
GD_ST_bin_181	GD_ST_contig_8575256.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Jejuia;s__
GD_ST_bin_19	GD_ST_contig_20304514.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__QQUJ01;f__QQUJ01;g__QQUJ01;s__
GD_ST_bin_31	GD_ST_contig_17152971.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__MA-ANB-1;s__
GD_ST_bin_38	GD_ST_contig_25134246.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__
GD_ST_bin_38	GD_ST_contig_26210141.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__
GD_ST_bin_3	GD_ST_contig_15982840.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__
GD_ST_bin_3	GD_ST_contig_21330448.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__
GD_ST_bin_3	GD_ST_contig_6032448.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__
GD_ST_bin_3	GD_ST_contig_17109857.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__
GD_ST_bin_3	GD_ST_contig_12912168.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__
GD_ST_bin_55	GD_ST_contig_2074677.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Jejuia;s__
GD_ST_bin_55	GD_ST_contig_4570696.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Jejuia;s__
GD_ST_bin_71	GD_ST_contig_13383223.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceicoccus;s__
GD_ST_bin_71	GD_ST_contig_413351.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceicoccus;s__
GD_ST_bin_71	GD_ST_contig_16304692.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceicoccus;s__
GD_ST_bin_80	GD_ST_contig_20303877.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_11661436.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_10353353.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_7073652.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_14753406.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_18468763.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_19808437.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_18789920.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_18789920.region002	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_22152713.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_2876290.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_16899770.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ST_bin_80	GD_ST_contig_6923316.region001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__
GD_ZH_bin_101	GD_ZH_contig_1359292.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__JABDNZ01;s__
GD_ZH_bin_101	GD_ZH_contig_21717839.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__JABDNZ01;s__
GD_ZH_bin_101	GD_ZH_contig_10928090.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__JABDNZ01;s__
GD_ZH_bin_101	GD_ZH_contig_8639903.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__JABDNZ01;s__
GD_ZH_bin_118	GD_ZH_contig_8508877.region001	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__
GD_ZH_bin_118	GD_ZH_contig_20709471.region001	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__
GD_ZH_bin_118	GD_ZH_contig_13860703.region001	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__
GD_ZH_bin_122	GD_ZH_contig_2772948.region001	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__9FT-COMBO-55-16;s__
GD_ZH_bin_122	GD_ZH_contig_10780561.region001	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__9FT-COMBO-55-16;s__
GD_ZH_bin_125	GD_ZH_contig_7111405.region001	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__
GD_ZH_bin_125	GD_ZH_contig_9848337.region001	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__
GD_ZH_bin_125	GD_ZH_contig_3180865.region001	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__
GD_ZH_bin_12	GD_ZH_contig_15587974.region001	d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__;s__
GD_ZH_bin_12	GD_ZH_contig_7615084.region001	d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__;s__
GD_ZH_bin_130	GD_ZH_contig_1701722.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__
GD_ZH_bin_130	GD_ZH_contig_11700804.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__
GD_ZH_bin_130	GD_ZH_contig_8338780.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__
GD_ZH_bin_130	GD_ZH_contig_16570164.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__
GD_ZH_bin_156	GD_ZH_contig_410037.region001	d__Bacteria;p__ARS69;c__ARS69;o__ARS69;f__ARS69;g__;s__
GD_ZH_bin_156	GD_ZH_contig_18017363.region001	d__Bacteria;p__ARS69;c__ARS69;o__ARS69;f__ARS69;g__;s__
GD_ZH_bin_156	GD_ZH_contig_24475604.region001	d__Bacteria;p__ARS69;c__ARS69;o__ARS69;f__ARS69;g__;s__
GD_ZH_bin_156	GD_ZH_contig_15220138.region001	d__Bacteria;p__ARS69;c__ARS69;o__ARS69;f__ARS69;g__;s__
GD_ZH_bin_174	GD_ZH_contig_4124656.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-544;s__
GD_ZH_bin_174	GD_ZH_contig_23262796.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-544;s__
GD_ZH_bin_17	GD_ZH_contig_23054090.region001	d__Bacteria;p__Desulfobacterota_E;c__MBNT15;o__MBNT15;f__MBNT15;g__CSP1-8;s__
GD_ZH_bin_17	GD_ZH_contig_6490893.region001	d__Bacteria;p__Desulfobacterota_E;c__MBNT15;o__MBNT15;f__MBNT15;g__CSP1-8;s__
GD_ZH_bin_181	GD_ZH_contig_8470785.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__
GD_ZH_bin_181	GD_ZH_contig_5366161.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__
GD_ZH_bin_181	GD_ZH_contig_12848178.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__
GD_ZH_bin_201	GD_ZH_contig_4220545.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXP01;f__SMXP01;g__;s__
GD_ZH_bin_201	GD_ZH_contig_6630327.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXP01;f__SMXP01;g__;s__
GD_ZH_bin_201	GD_ZH_contig_23936501.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXP01;f__SMXP01;g__;s__
GD_ZH_bin_208	GD_ZH_contig_23343376.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__
GD_ZH_bin_208	GD_ZH_contig_8840971.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__
GD_ZH_bin_209	GD_ZH_contig_19650699.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__
GD_ZH_bin_209	GD_ZH_contig_11554550.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__
GD_ZH_bin_209	GD_ZH_contig_15688152.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__
GD_ZH_bin_209	GD_ZH_contig_24575647.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__
GD_ZH_bin_20	GD_ZH_contig_17932586.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_1703136.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_12541769.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_22371984.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_81338.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_20469917.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_22525735.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_20	GD_ZH_contig_21300796.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
GD_ZH_bin_210	GD_ZH_contig_20714577.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-309;s__
GD_ZH_bin_210	GD_ZH_contig_21728907.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-309;s__
GD_ZH_bin_210	GD_ZH_contig_26135987.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-309;s__
GD_ZH_bin_210	GD_ZH_contig_12853115.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-309;s__
GD_ZH_bin_21	GD_ZH_contig_20981959.region001	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp003486165
GD_ZH_bin_21	GD_ZH_contig_20361636.region001	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp003486165
GD_ZH_bin_21	GD_ZH_contig_4509866.region001	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp003486165
GD_ZH_bin_21	GD_ZH_contig_23323084.region001	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp003486165
GD_ZH_bin_223	GD_ZH_contig_25377072.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__JABDQB01;s__
GD_ZH_bin_223	GD_ZH_contig_18627055.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__JABDQB01;s__
GD_ZH_bin_223	GD_ZH_contig_23790124.region001	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__JABDQB01;s__
GD_ZH_bin_228	GD_ZH_contig_18341506.region001	d__Bacteria;p__Bacteroidota;c__SZUA-365;o__SZUA-365;f__;g__;s__
GD_ZH_bin_228	GD_ZH_contig_6393496.region001	d__Bacteria;p__Bacteroidota;c__SZUA-365;o__SZUA-365;f__;g__;s__
GD_ZH_bin_228	GD_ZH_contig_1014626.region001	d__Bacteria;p__Bacteroidota;c__SZUA-365;o__SZUA-365;f__;g__;s__
GD_ZH_bin_237	GD_ZH_contig_7592191.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__B8-G4;s__
GD_ZH_bin_237	GD_ZH_contig_15177757.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__B8-G4;s__
GD_ZH_bin_239	GD_ZH_contig_4614422.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Terricaulis;s__
GD_ZH_bin_239	GD_ZH_contig_9796165.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Terricaulis;s__
GD_ZH_bin_240	GD_ZH_contig_25126939.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Altibacter;s__
GD_ZH_bin_246	GD_ZH_contig_2720879.region001	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__JAABTL01;s__
GD_ZH_bin_246	GD_ZH_contig_17292926.region001	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__JAABTL01;s__
GD_ZH_bin_246	GD_ZH_contig_12229520.region001	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__JAABTL01;s__
GD_ZH_bin_246	GD_ZH_contig_5194704.region001	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__JAABTL01;s__
GD_ZH_bin_247	GD_ZH_contig_1033906.region001	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__;s__
GD_ZH_bin_261	GD_ZH_contig_24368148.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_12529010.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_22356031.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_24067008.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_24067008.region002	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_5135688.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_17011219.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_5867106.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_6606471.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_25286141.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_261	GD_ZH_contig_19876885.region001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__;s__
GD_ZH_bin_266	GD_ZH_contig_11920709.region001	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GWC2-42-7;s__
GD_ZH_bin_266	GD_ZH_contig_7200591.region001	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GWC2-42-7;s__
GD_ZH_bin_32	GD_ZH_contig_24869802.region001	d__Bacteria;p__Acidobacteriota;c__HRBIN11;o__;f__;g__;s__
GD_ZH_bin_34	GD_ZH_contig_4183313.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Yeosuana;s__
GD_ZH_bin_36	GD_ZH_contig_23730604.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__
GD_ZH_bin_36	GD_ZH_contig_20049290.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__
GD_ZH_bin_36	GD_ZH_contig_8717134.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__
GD_ZH_bin_36	GD_ZH_contig_22985892.region001	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__
GD_ZH_bin_37	GD_ZH_contig_23710922.region001	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QQUY01;s__
GD_ZH_bin_37	GD_ZH_contig_18753832.region001	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QQUY01;s__
