bgc_name	membership_value	genome_name	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29
GD_ZH_contig_17764897.region001	1.49011611938477e-08	GD_ZH_bin_51	96.63	2.521	40.9	89296	2289680	48	2311	243688	0.874689523	k__Bacteria (UID3187)	190	0.0	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__N074bin48;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction														
FJ_XM_contig_7439548.region001	0.0	FJ_XM_bin_95	95.06	3.69	54.5	16548	3612509	310	3075	44063	0.900073376	k__Bacteria (UID2569)	278	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__															
FJ_XM_contig_8618480.region001	0.384422803063027	FJ_XM_bin_118	82.98	0.022	54.1	9908	3066992	427	3122	59238	0.882610584	c__Deltaproteobacteria (UID3217)	280	100.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfofustis;s__	Sulphate reduction														
JS_YC_contig_8132437.region001	0.0	JS_YC_bin_99	92.06	2.083	48.6	16978	3691466	328	3561	83284	0.866001002	c__Deltaproteobacteria (UID3217)	280	25.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__MADRE3;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__;s__	Sulphate reduction														
FJ_XM_contig_8771700.region001	0.0	FJ_XM_bin_7	90.78	5.027	60.0	37079	3229900	168	2974	126305	0.905807307	c__Gammaproteobacteria (UID4202)	481	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__JABDPF01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__															
GD_ST_contig_15982840.region001	0.0	GD_ST_bin_3	99.56	0.434	59.8	134558	4730873	126	4387	369563	0.866625251	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
SD_QD_contig_17702344.region001	0.0	SD_QD_bin_281	53.73	7.758	60.7	3787	3110019	893	3644	16962	0.878926884	k__Bacteria (UID203)	104	83.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
JS_YC_contig_16058719.region001	0.0	JS_YC_bin_130	96.08	1.098	56.3	104128	5441729	173	4796	341683	0.911577896	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__															
GD_ST_contig_18775541.region001	0.0	GD_ST_bin_148	92.39	1.086	60.8	94681	3041668	53	2914	368922	0.906581934	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__															
FJ_XM_contig_14643173.region001	0.285330616055723	FJ_XM_bin_21	72.03	1.724	62.6	18267	3416726	347	3348	69021	0.919620961	k__Bacteria (UID203)	104	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia;s__															
HN_SY_contig_14027799.region001	0.316969095432103	HN_SY_bin_100	69.7	7.595	52.0	8253	1647910	239	1796	23177	0.900853477	c__Gammaproteobacteria (UID4267)	544	16.13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6429;f__UBA6429;g__Thiohalophilus;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioalkalispiraceae;g__Thiohalophilus;s__															
HN_SY_contig_14244818.region001	0.36911642497031	HN_SY_bin_56	80.07	4.765	65.6	12933	3720288	404	3557	50286	0.903636382	c__Gammaproteobacteria (UID4267)	544	31.03	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1844;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__															
LN_DD_contig_1830857.region001	0.0	LN_DD_bin_194	97.86	1.388	41.2	62095	2202355	52	2195	215756	0.896549568	c__Betaproteobacteria (UID3888)	387	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__;s__															
LN_DD_contig_21844107.region001	0.362588004670805	LN_DD_bin_167	58.62	5.172	54.3	17945	2427674	236	2382	193684	0.930699736	k__Bacteria (UID203)	104	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__;s__															
LN_DD_contig_22189433.region001	0.347151299007423	LN_DD_bin_19	57.93	1.724	63.8	39160	2705086	145	2609	187145	0.916274641	k__Bacteria (UID203)	104	100.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__															
LN_DD_contig_9188250.region001	0.36911642497031	LN_DD_bin_155	68.96	0.0	60.2	76171	1803192	50	1718	187170	0.908020641	k__Bacteria (UID203)	104	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__;s__															
SD_DY_contig_9762380.region001	0.355937232152923	SD_DY_bin_353	74.13	0.0	67.6	41770	3823022	167	3473	140017	0.909053276	k__Bacteria (UID203)	104	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__															
SD_QD_contig_21321412.region001	0.37020064160603	SD_QD_bin_76	78.11	4.284	57.3	79073	3621310	208	3348	236456	0.925568016	c__Gammaproteobacteria (UID4267)	544	6.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__															
ZJ_WZ_contig_24681133.region001	0.0	ZJ_WZ_bin_66	85.25	2.816	68.4	71374	3273946	80	2968	139741	0.908765351	c__Gammaproteobacteria (UID4267)	544	7.69	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__															
GD_ST_contig_21330448.region001	0.0	GD_ST_bin_3	99.56	0.434	59.8	134558	4730873	126	4387	369563	0.866625251	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
GD_ST_contig_22097523.region001	0.0	GD_ST_bin_5	72.41	0.862	67.2	14601	3619999	302	3567	49153	0.896603844	k__Bacteria (UID203)	104	100.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
GD_ST_contig_26210141.region001	0.0	GD_ST_bin_38	95.76	2.136	66.5	31500	3908369	188	3910	92925	0.900916953	k__Bacteria (UID1453)	171	0.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__															
SD_DY_contig_17932626.region001	1.49011611938477e-08	SD_DY_bin_322	95.72	2.231	69.4	54277	4271591	173	4199	173001	0.921531704	k__Bacteria (UID1453)	171	25.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__VXYK01;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__															
ZJ_NB_contig_10317887.region001	2.1073424255447e-08	ZJ_NB_bin_104	95.45	4.602	43.2	40264	3849206	147	3730	176576	0.819608977	k__Bacteria (UID3187)	181	0.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__;s__	d__Bacteria;p__Deferribacteres;c__Deferribacteres;o__;f__;g__;s__															
SD_QD_contig_10380044.region001	0.0	SD_QD_bin_125	98.51	1.498	42.7	28741	4546915	306	4066	100108	0.899871616	o__Cytophagales (UID2936)	454	28.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__															
ZJ_NB_contig_5940340.region001	0.0	ZJ_NB_bin_175	93.96	2.331	40.2	32664	4396256	321	4048	142808	0.900947001	o__Cytophagales (UID2936)	454	30.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__SZUA-230;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__															
GD_ST_contig_4723645.region001	0.0	GD_ST_bin_100	88.98	0.489	58.0	78341	3391574	75	3402	173639	0.883511811	f__Rhodobacteraceae (UID3360)	582	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__															
GD_ST_contig_6145992.region001	0.0	GD_ST_bin_135	99.65	1.279	68.1	188382	3246407	21	3056	514395	0.895546952	o__Sphingomonadales (UID3310)	569	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003355005	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__															
GD_ZH_contig_17932586.region001	0.291296408402385	GD_ZH_bin_20	93.95	3.26	65.1	61681	4431010	143	4214	174155	0.879419302	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
ZJ_WZ_contig_23658316.region001	0.291296408402385	ZJ_WZ_bin_165	98.69	2.768	62.4	75540	5066181	151	4836	198455	0.876165159	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
ZJ_WZ_contig_13472811.region001	1.49011611938477e-08	ZJ_WZ_bin_219	90.75	8.403	46.6	56584	2954144	79	2839	175012	0.850146883	k__Bacteria (UID3187)	190	9.09	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__UBA2774;g__;s__	d__Bacteria;p__Candidatus Dadabacteria;c__;o__;f__;g__;s__															
GD_ZH_contig_10505396.region001	0.0	GD_ZH_bin_152	74.08	2.966	69.1	48537	4114662	139	3626	175869	0.883418394	k__Bacteria (UID2142)	316	0.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__															
GD_ZH_contig_1057872.region001	0.0	GD_ZH_bin_69	81.19	2.136	73.1	21824	4578498	267	3980	95160	0.894192202	k__Bacteria (UID1453)	171	0.0	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__															
GD_ZH_contig_11187011.region001	0.0	GD_ZH_bin_232	79.12	7.142	67.4	40995	4555074	200	3861	132830	0.906948824	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__															
JS_YC_contig_21011630.region001	0.0	JS_YC_bin_8	89.72	0.742	38.4	146617	3109534	53	2543	340751	0.890489172	p__Bacteroidetes (UID2591)	302	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA2365;s__	d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__															
GD_ZH_contig_11920709.region001	0.0	GD_ZH_bin_266	99.09	0.959	45.5	59540	2508414	63	2473	152422	0.88321694	k__Bacteria (UID3187)	181	0.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GWC2-42-7;s__	d__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__															
GD_ZH_contig_11962797.region001	0.0	GD_ZH_bin_89	68.59	0.372	35.5	28042	2187444	106	1981	87790	0.898535222	k__Bacteria (UID2570)	270	0.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__XYD12-FULL-36-8;s__	d__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__;f__;g__;s__															
GD_ZH_contig_11035848.region001	0.0	GD_ZH_bin_207	86.2	3.361	71.6	50066	3909561	133	3714	150078	0.92973079	k__Bacteria (UID3187)	190	0.0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UTPRO1;f__DP-6;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction														
GD_ZH_contig_8508877.region001	0.0	GD_ZH_bin_118	97.26	2.477	65.1	70941	3087382	90	2606	237849	0.917775846	k__Bacteria (UID2570)	273	16.67	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__	d__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__;f__;g__;s__															
GD_ZH_contig_13764930.region001	1.49011611938477e-08	GD_ZH_bin_3	92.51	3.418	66.2	42007	3965029	164	3364	129400	0.927493565	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__															
GD_ZH_contig_13860703.region001	1.49011611938477e-08	GD_ZH_bin_118	97.26	2.477	65.1	70941	3087382	90	2606	237849	0.917775846	k__Bacteria (UID2570)	273	16.67	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__	d__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__;f__;g__;s__															
GD_ZH_contig_14663506.region002	0.0	GD_ZH_bin_214	91.31	6.427	69.2	69163	4645897	132	4423	225198	0.889545973	c__Betaproteobacteria (UID3971)	425	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__JAABRB01;s__	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__															
GD_ZH_contig_15177757.region001	0.0	GD_ZH_bin_237	95.04	0.99	52.4	49717	3632472	127	2995	154307	0.904387833	p__Bacteroidetes (UID2591)	302	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__B8-G4;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__															
GD_ZH_contig_15448967.region001	1.49011611938477e-08	GD_ZH_bin_147	55.1	1.789	64.2	38979	2134105	84	2009	90497	0.924401983	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__JABDJL01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__															
GD_ZH_contig_1550518.region001	0.0	GD_ZH_bin_83	86.08	0.931	57.7	14503	2662922	238	2758	50742	0.891129811	c__Alphaproteobacteria (UID3305)	349	33.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__CAIYRG01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__															
GD_ZH_contig_15621398.region001	1.49011611938477e-08	GD_ZH_bin_111	88.55	3.575	65.4	66882	6563269	176	5302	279269	0.914278268	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__;g__;s__	Sulphate reduction														
GD_ZH_contig_15682576.region001	1.49011611938477e-08	GD_ZH_bin_152	74.08	2.966	69.1	48537	4114662	139	3626	175869	0.883418394	k__Bacteria (UID2142)	316	0.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__															
GD_ST_contig_20937887.region001	0.371500849855822	GD_ST_bin_144	85.11	4.979	57.0	8837	2475876	375	2679	43101	0.886799191	p__Proteobacteria (UID3882)	261	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__S146-88;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__;s__															
GD_ST_contig_3015468.region001	0.369470050303586	GD_ST_bin_23	86.98	1.575	64.0	22940	3397299	191	3534	101849	0.892910869	f__Rhodobacteraceae (UID3356)	617	42.86	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Silicimonas;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Silicimonas;s__															
GD_ZH_contig_19975720.region001	0.0	GD_ZH_bin_226	94.29	7.727	48.0	76637	2894714	80	2930	257087	0.881114509	k__Bacteria (UID3187)	181	0.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GWC2-42-7;s__	d__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__															
GD_ZH_contig_15232623.region001	0.0	GD_ZH_bin_152	74.08	2.966	69.1	48537	4114662	139	3626	175869	0.883418394	k__Bacteria (UID2142)	316	0.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__															
GD_ZH_contig_18666303.region001	1.49011611938477e-08	GD_ZH_bin_8	95.72	3.418	58.3	39888	5097460	313	4275	176107	0.879048034	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__RPQK01;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__															
GD_ZH_contig_17588901.region001	0.0	GD_ZH_bin_28	71.42	2.801	65.4	64305	3764179	178	3245	197058	0.890216271	k__Bacteria (UID3187)	190	0.0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__	Sulphate reduction														
GD_ZH_contig_17844912.region001	0.0	GD_ZH_bin_81	95.06	7.51	68.7	47600	5180508	225	4745	204629	0.894228029	p__Proteobacteria (UID3887)	259	4.55	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__															
