bgc_name	genome_name	score	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)	Product Prediction
ZJ_WZ_contig_26813723.region001	ZJ_WZ_bin_17	0.8812162864952964	99.78	0.217	59.2	282406	5231300	47	5057	616648	0.883323691	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Phyllobacterium;s__Phyllobacterium sp900539805	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Phyllobacterium;s__		thioamitides
JS_YC_contig_10194482.region001	JS_YC_bin_143	0.8274844842199206	96.4	1.245	56.9	85625	9025911	243	6773	307613	0.869475593	k__Bacteria (UID2565)	140	50.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__ARS98;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		betalactone
JS_YC_contig_16118866.region001	JS_YC_bin_143	0.8274844842199206	96.4	1.245	56.9	85625	9025911	243	6773	307613	0.869475593	k__Bacteria (UID2565)	140	50.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__ARS98;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		betalactone
JS_YC_contig_6510465.region001	JS_YC_bin_143	0.8274844842199206	96.4	1.245	56.9	85625	9025911	243	6773	307613	0.869475593	k__Bacteria (UID2565)	140	50.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__ARS98;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		lanthipeptide-class-v
GX_BH_contig_20167490.region001	GX_BH_bin_33	0.791690462222409	99.67	1.711	65.8	367379	3533260	19	3371	702060	0.893749354	c__Alphaproteobacteria (UID3422)	529	11.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae		NAGGN
GD_ST_contig_6145992.region001	GD_ST_bin_135	0.7721715732218604	99.65	1.279	68.1	188382	3246407	21	3056	514395	0.895546952	o__Sphingomonadales (UID3310)	569	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003355005	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__		NAPAA.lanthipeptide-class-v
JS_YC_contig_9600639.region001	JS_YC_bin_193	0.7311708245790293	98.91	1.304	58.6	59824	5017409	182	4847	144700	0.893496176	c__Alphaproteobacteria (UID3305)	349	50.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8317;f__UBA8317;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		terpene
LN_DD_contig_11412531.region001	LN_DD_bin_109	0.7290158209135188	94.56	0.434	57.5	40793	3691858	164	3586	142079	0.87972222	c__Alphaproteobacteria (UID3305)	349	100.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Anderseniella;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Anderseniella;s__		ectoine
LN_DD_contig_12436789.region001	LN_DD_bin_109	0.7290158209135188	94.56	0.434	57.5	40793	3691858	164	3586	142079	0.87972222	c__Alphaproteobacteria (UID3305)	349	100.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Anderseniella;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Anderseniella;s__		NAPAA
LN_DD_contig_20558711.region001	LN_DD_bin_109	0.7290158113385333	94.56	0.434	57.5	40793	3691858	164	3586	142079	0.87972222	c__Alphaproteobacteria (UID3305)	349	100.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Anderseniella;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Anderseniella;s__		terpene
ZJ_NB_contig_4036110.region001	ZJ_NB_bin_135	0.7268299854985774	98.75	1.176	62.1	64604	8910178	219	6761	227455	0.881848446	k__Bacteria (UID2565)	140	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		terpene
ZJ_NB_contig_5290923.region001	ZJ_NB_bin_135	0.7268299854985774	98.75	1.176	62.1	64604	8910178	219	6761	227455	0.881848446	k__Bacteria (UID2565)	140	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		LAP
ZJ_NB_contig_10371558.region001	ZJ_NB_bin_135	0.7268299854985774	98.75	1.176	62.1	64604	8910178	219	6761	227455	0.881848446	k__Bacteria (UID2565)	140	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		cyanobactin
ZJ_NB_contig_22832207.region001	ZJ_NB_bin_135	0.7268299854985774	98.75	1.176	62.1	64604	8910178	219	6761	227455	0.881848446	k__Bacteria (UID2565)	140	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		resorcinol
GD_ZH_contig_4614422.region001	GD_ZH_bin_239	0.7243382896923607	96.34	2.326	66.5	111058	3283549	66	3344	322519	0.900584997	c__Alphaproteobacteria (UID3422)	529	35.71	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Terricaulis;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		terpene
HN_SY_contig_17845991.region001	HN_SY_bin_121	0.7220037222930937	97.11	1.176	59.7	30379	9449558	504	6941	164863	0.875275728	k__Bacteria (UID2565)	140	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__		NRPS.T1PKS
HN_SY_contig_20471158.region001	HN_SY_bin_121	0.7220037222930937	97.11	1.176	59.7	30379	9449558	504	6941	164863	0.875275728	k__Bacteria (UID2565)	140	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__		terpene
SD_DY_contig_8331705.region001	SD_DY_bin_514	0.7201896239616473	92.3	1.709	67.7	156481	5470794	173	4766	521650	0.89913719	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__		NRPS-like
SD_DY_contig_18530652.region001	SD_DY_bin_514	0.7201896239616473	92.3	1.709	67.7	156481	5470794	173	4766	521650	0.89913719	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__		RRE-containing
SD_DY_contig_11889987.region001	SD_DY_bin_514	0.7201896239616473	92.3	1.709	67.7	156481	5470794	173	4766	521650	0.89913719	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__		T3PKS
SD_DY_contig_2357354.region001	SD_DY_bin_514	0.7201896171911103	92.3	1.709	67.7	156481	5470794	173	4766	521650	0.89913719	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__		T3PKS
ZJ_NB_contig_543294.region001	ZJ_NB_bin_20	0.7163322888531788	95.91	0.586	49.7	106358	3246001	71	2860	227451	0.902053128	c__Gammaproteobacteria (UID4267)	544	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NRPS-like
ZJ_NB_contig_6893327.region001	ZJ_NB_bin_20	0.7163322888531788	95.91	0.586	49.7	106358	3246001	71	2860	227451	0.902053128	c__Gammaproteobacteria (UID4267)	544	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		terpene
ZJ_NB_contig_7145030.region001	ZJ_NB_bin_20	0.7163322888531788	95.91	0.586	49.7	106358	3246001	71	2860	227451	0.902053128	c__Gammaproteobacteria (UID4267)	544	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		terpene
ZJ_NB_contig_10862988.region001	ZJ_NB_bin_20	0.7163322888531788	95.91	0.586	49.7	106358	3246001	71	2860	227451	0.902053128	c__Gammaproteobacteria (UID4267)	544	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		RiPP-like
SD_QD_contig_1140820.region001	SD_QD_bin_32	0.7091833630821154	95.96	1.275	56.6	44823	4387327	240	4735	167971	0.857401088	f__Rhodobacteraceae (UID3356)	617	31.58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Boseongicola;s__Boseongicola sp905479635	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Boseongicola;s__		hydrogen-cyanide
SD_DY_contig_21769247.region002	SD_DY_bin_460	0.7046998187166192	96.7	4.395	68.8	104674	6672426	243	5829	352262	0.893978118	k__Bacteria (UID2495)	147	25.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__		terpene
SD_DY_contig_5353751.region001	SD_DY_bin_460	0.7046998187166192	96.7	4.395	68.8	104674	6672426	243	5829	352262	0.893978118	k__Bacteria (UID2495)	147	25.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__		NRPS-like
SD_DY_contig_1580874.region001	SD_DY_bin_460	0.7046998187166192	96.7	4.395	68.8	104674	6672426	243	5829	352262	0.893978118	k__Bacteria (UID2495)	147	25.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__		RRE-containing
SD_DY_contig_18055696.region001	SD_DY_bin_460	0.7046998187166192	96.7	4.395	68.8	104674	6672426	243	5829	352262	0.893978118	k__Bacteria (UID2495)	147	25.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__		lassopeptide.RRE-containing
SD_DY_contig_25818256.region001	SD_DY_bin_460	0.7046998187166192	96.7	4.395	68.8	104674	6672426	243	5829	352262	0.893978118	k__Bacteria (UID2495)	147	25.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__		terpene
SD_DY_contig_6213267.region001	SD_DY_bin_291	0.702422295633522	95.37	1.561	65.4	47525	4732566	161	4633	165897	0.89610622	c__Alphaproteobacteria (UID3305)	349	50.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2731375;f__GCA-2731375;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__		NRPS-like
SD_DY_contig_8787890.region001	SD_DY_bin_508	0.6962711599304661	92.62	0.387	58.7	96590	3532426	83	3242	269337	0.89530256	c__Gammaproteobacteria (UID4444)	507	25.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter mobilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__Marinobacter mobilis		ectoine
SD_DY_contig_8151327.region001	SD_DY_bin_508	0.6962711599304661	92.62	0.387	58.7	96590	3532426	83	3242	269337	0.89530256	c__Gammaproteobacteria (UID4444)	507	25.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter mobilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__Marinobacter mobilis		RiPP-like
SD_DY_contig_8845631.region001	SD_DY_bin_508	0.6962711599304661	92.62	0.387	58.7	96590	3532426	83	3242	269337	0.89530256	c__Gammaproteobacteria (UID4444)	507	25.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter mobilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__Marinobacter mobilis		redox-cofactor
GD_ST_contig_21330448.region001	GD_ST_bin_3	0.6955231033276758	99.56	0.434	59.8	134558	4730873	126	4387	369563	0.866625251	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		phosphonate
GD_ST_contig_6032448.region001	GD_ST_bin_3	0.6955231033276758	99.56	0.434	59.8	134558	4730873	126	4387	369563	0.866625251	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		hydrogen-cyanide
GD_ST_contig_15982840.region001	GD_ST_bin_3	0.6955231033276758	99.56	0.434	59.8	134558	4730873	126	4387	369563	0.866625251	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		ectoine
GX_BH_contig_22412940.region001	GX_BH_bin_94	0.6952793616801052	93.26	1.521	62.6	56678	2864938	72	2828	152157	0.900468084	c__Alphaproteobacteria (UID3305)	349	100.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__DSM-21159;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__;s__		NAGGN
ZJ_WZ_contig_5523397.region001	ZJ_WZ_bin_99	0.6946481119986473	88.03	0.854	67.6	43586	3909198	153	3369	132451	0.917546332	k__Bacteria (UID3187)	188	100.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		terpene
ZJ_WZ_contig_5071952.region001	ZJ_WZ_bin_99	0.6946481119986473	88.03	0.854	67.6	43586	3909198	153	3369	132451	0.917546332	k__Bacteria (UID3187)	188	100.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		RRE-containing
SD_DY_contig_2314354.region001	SD_DY_bin_327	0.690382583571395	88.31	4.558	64.8	19812	7958280	660	6950	96839	0.919767274	k__Bacteria (UID3187)	188	16.67	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Bin61;f__SMYC01;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		NRPS-like
SD_QD_contig_10380044.region001	SD_QD_bin_125	0.6811988185994056	98.51	1.498	42.7	28741	4546915	306	4066	100108	0.899871616	o__Cytophagales (UID2936)	454	28.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__		terpene
SD_QD_contig_27933879.region002	SD_QD_bin_125	0.6811988185994056	98.51	1.498	42.7	28741	4546915	306	4066	100108	0.899871616	o__Cytophagales (UID2936)	454	28.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__		lanthipeptide-class-ii.LAP
JS_YC_contig_23240695.region001	JS_YC_bin_145	0.6807250424531954	94.76	4.354	58.4	27405	5656583	394	5327	125869	0.913231036	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__		RiPP-like
JS_YC_contig_5422315.region001	JS_YC_bin_145	0.6807250356826583	94.76	4.354	58.4	27405	5656583	394	5327	125869	0.913231036	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__		redox-cofactor
SD_QD_contig_12638362.region002	SD_QD_bin_224	0.6806109388336019	88.97	0.092	52.7	20372	3106421	252	2967	84899	0.912612813	c__Deltaproteobacteria (UID3216)	247	100.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	Sulphate reduction	betalactone
SD_QD_contig_12638362.region001	SD_QD_bin_224	0.6806109388336019	88.97	0.092	52.7	20372	3106421	252	2967	84899	0.912612813	c__Deltaproteobacteria (UID3216)	247	100.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	Sulphate reduction	betalactone
SD_DY_contig_8371887.region001	SD_DY_bin_520	0.6798974391031993	94.2	3.354	70.9	35837	7066391	347	6278	119487	0.927929426	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota_A;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	RiPP-like
SD_DY_contig_5387054.region001	SD_DY_bin_520	0.6798974391031993	94.2	3.354	70.9	35837	7066391	347	6278	119487	0.927929426	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota_A;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	T1PKS
GD_ZH_contig_21355347.region001	GD_ZH_bin_43	0.6770450559165893	98.29	3.317	56.5	19550	5790384	430	4810	152628	0.911043298	k__Bacteria (UID2982)	229	37.5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__		T1PKS.NRPS-like
